IES,IES_ID,project_ID,loop_ID,loop_play_URL,track,loop_name,duration,is_adjusted,base_song_title,artist,music_genre,song_preview_url,song_cover_url,youtube_url,video_cover_url,gender
Baldiri Guilera,5,5,4_6,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/3cb60ee9-8958-4aff-84e4-c477ce069b1a,melodia 2,--- Cancerbero C´est la mort,"10,92",FALSE,"C'est La Mort, Cancerbero",Cancerbero,Hip-Hop,https://www.shazam.com/track/249429199/cest-la-mort,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/3d/ca/40/3dca4013-1f04-6588-bdf9-4ef63e30cc17/cover.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=XjA7tvuqXG4&pp=ygUkQ2FuY2VyYmVybyxDJ2VzdCBMYSBNb3J0LCBDYW5jZXJiZXJv,https://i.ytimg.com/vi/XjA7tvuqXG4/hq720.jpg?sqp=-oaymwE9COgCEMoBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4JgALQBYoCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLCJtZsRNo39A_IiZjP5QEZhuKibhQ,m
Baldiri Guilera,5,5,2_4,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/b2cd035b-e841-4ac2-8d69-540e095e30a9,ritmo 2,--- Criminal J fllock,"3,16",TRUE,Criminal,J Fllock,Hip-Hop,https://www.shazam.com/es-es/track/662977302/criminal,https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/3f/fb/ec/3ffbec0c-000c-1665-fa5a-076a7af0b3b3/197580258683.png/400x400cc.jpg,https://www.youtube.com//watch?v=_Q2gFiL39j8&pp=ygURSiBGbGxvY2ssQ3JpbWluYWw%3D,https://i.ytimg.com/vi/_Q2gFiL39j8/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBiM9CaLSsQfJCz9Y9b-UwnZjN_Ng,m
Escola Pepa Colomer,1,1,7_7,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/31be092f-05ac-49c4-a46f-2c125d06b536,Voz 1,--- dandole like a la foto mia,"2,87",TRUE,TQG,KAROL G & Shakira,Urbano latino,https://www.shazam.com/es-es/track/652261537/tqg,https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/9b/01/44/9b0144e6-21ae-b53f-2b25-ef6c594b18a3/22UM1IM38716.rgb.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=jZGpkLElSu8&pp=ygUVS0FST0wgRyAmIFNoYWtpcmEsVFFH,https://i.ytimg.com/vi/jZGpkLElSu8/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAFrGNfoWxA2uCEHz4Gfx7T_yW99Q,f
Baldiri Guilera,5,5,7_2,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/27884709-5390-4f80-bcbf-ae3fd724ef8e,---,--- Dead Opps Notty Osama,"3,4",TRUE,Dead Opps (feat. Notti Osama),DD Osama,Hip-Hop,https://www.shazam.com/es-es/track/623845588/dead-opps-feat-notti-osama,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/d6/1b/e5/d61be5d3-4409-31ea-99b9-21efa65c75cc/artwork.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=ZAXA1Sx06DE&pp=ygUmREQgT3NhbWEsRGVhZCBPcHBzIChmZWF0LiBOb3R0aSBPc2FtYSk%3D,https://i.ytimg.com/vi/ZAXA1Sx06DE/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLC3FJPA2H-tsNih90I-QI-G1AMScg,m
Baldiri Guilera,5,5,2_3,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/8c10c399-c9b3-40f8-b8db-c1624da4e3af,ritmo 2,--- Gangsta Flvcko,"4,98",FALSE,289,Upir,Pop,https://lis.tn/hvzswc,https://i.scdn.co/image/ab67616d0000b273be9f834c65912b30f45d1d03,https://www.youtube.com//watch?v=gaLGUEG4UEU&pp=ygUIVXBpciwyODk%3D,https://i.ytimg.com/vi/gaLGUEG4UEU/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCuB4Dnw6uCX4sGlQKECF6PGXK8CQ,m
Baldiri Guilera,5,5,1_7,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/72a01d75-0170-4ef9-bffc-55bf42d74adc,ritmo 1,--- my ordinartia pou,"2,72",FALSE,"My Ordinary Life, The Living Tombstone",The Living Tombstone,Hip-Hop,https://www.shazam.com/track/384630099/my-ordinary-life,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/75/15/46/7515460e-9a7b-1200-5663-010e82e2cf17/artwork.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=9Zj0JOHJR-s&pp=ygU7VGhlIExpdmluZyBUb21ic3RvbmUsTXkgT3JkaW5hcnkgTGlmZSwgVGhlIExpdmluZyBUb21ic3RvbmU%3D,https://i.ytimg.com/vi/9Zj0JOHJR-s/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBqJafMC6zMoHFeYso5OfIK0uADxA,m
Baldiri Guilera,5,5,7_6,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/d08b09e0-b21b-4bcd-b92f-22ca5f5a06c9,---,--- phonk brasilero,"3,44",FALSE,"Brazilian Phonk Mano (Super Slowed), Slowboy, lucaf. & Crazy Mano","Slowboy, lucaf. & Crazy Mano",Electrónica,https://www.shazam.com/track/650203891/brazilian-phonk-mano-super-slowed,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d1/e1/9a/d1e19a69-3c50-f0bc-2bc7-9eb015de27c1/197368148397.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=NMSrJoP6BbU&pp=ygVeU2xvd2JveSwgbHVjYWYuICYgQ3JhenkgTWFubyxCcmF6aWxpYW4gUGhvbmsgTWFubyAoU3VwZXIgU2xvd2VkKSwgU2xvd2JveSwgbHVjYWYuICYgQ3JhenkgTWFubw%3D%3D,https://i.ytimg.com/vi/NMSrJoP6BbU/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDkOSNMQEGWixQNCVOdSdIm7b0UoQ,m
Baldiri Guilera,5,5,2_1,https://app.antropoloops.com/teatrelartesa/b8e3d0f4-db9b-4eef-bbaa-5cc66789b973/clips/0190862a-51a1-4d3e-82f1-5f252633ed8b,ritmo 2,--- Stiff Lauren Lose Yourself,"3,09",TRUE,LOSE YOURSELF (OFFICIAL AUDIO),STIFF LAUREN,Hip-Hop,https://www.shazam.com/es-es/track/625202742/lose-yourself,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/d1/cf/6c/d1cf6c34-f05e-3550-0aad-66213fa65066/artwork.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=3QbCXTxM44M&pp=ygUrU1RJRkYgTEFVUkVOLExPU0UgWU9VUlNFTEYgKE9GRklDSUFMIEFVRElPKQ%3D%3D,https://i.ytimg.com/vi/3QbCXTxM44M/hq720.jpg?sqp=-oaymwE9COgCEMoBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4JgALQBYoCDAgAEAEYZSBXKE8wDw==&rs=AOn4CLDJfxjWIiNFNUkwwZbEGrqvLtVIgQ,m
Ribera Baixa ,3,3,6_4,https://app.antropoloops.com/teatrelartesa/15576ab7-6f43-48a4-a7b6-e92c2e3aba4e/clips/b7df684e-8cac-4654-824e-a0f70a4dfcee,melodia 3,--- Tue Apr 25 2023,"0,98",TRUE,120,Bad Bunny,Urbano latino,https://www.shazam.com/es-es/track/547085505/120,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/64/70/1c/64701cff-71ed-912f-ce62-71d409f5e6ad/195497640560.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=NKVI1zbtLHY&pp=ygUNQmFkIEJ1bm55LDEyMA%3D%3D,https://i.ytimg.com/vi/NKVI1zbtLHY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDdbMHOS6cCeh6LW5w7vNnAyRt35w,f
Institut el Prat,2,2,2_2,https://app.antropoloops.com/teatrelartesa/a51a9465-1aab-421c-9448-b74c2e469afe/clips/3fc7299c-6bab-4cc9-acae-2be889ba8e1b,Ritmo 2,-.samuu.mc seguirme  Esclava remix,"0,38",FALSE,"Esclava (feat. Anonimus, Anuel AA & Almighty) [Remix]",Brian Ma,Latino,https://www.shazam.com/es-es/track/284034781/esclava-feat-anonimus-anuel-aa-almighty-remix,https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/bd/dc/74/bddc74a8-49e5-6fc9-e881-bc5e43ac5712/b318391b-cb0e-4162-9d8e-c87862fb877f.jpg/400x400cc.jpg,https://www.youtube.com//watch?v=wohwc9MQt6A&pp=ygU-QnJpYW4gTWEsRXNjbGF2YSAoZmVhdC4gQW5vbmltdXMsIEFudWVsIEFBICYgQWxtaWdodHkpIFtSZW1peF0%3D,https://i.ytimg.com/vi/wohwc9MQt6A/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBQ5i8FTRPNt7yty9I9_p6CImozfg,m
