IES,loop_ID,loop_play_URL,track,loop_name,duration,is_adjusted,base_song_title,artist,music_genre,song_preview_url,song_cover_url,youtube_url
01 I. Escola Pepa Colomer,1_1,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/b0aa5f7c-e233-4bf9-b0e8-de74014be6a4,Ritmo 1,Jiahui Believer,"1,91",FALSE,Believer,Sherise,Rock,https://lis.tn/eYqHcA,https://e-cdns-images.dzcdn.net/images/cover/1bed0ba9d9300fb281eef1da2f30424c/250x250-000000-80-0-0.jpg,
01 I. Escola Pepa Colomer,1_2,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/d6cbdfff-e365-440a-9143-e46a763b1814,Ritmo 1,celedonio demivt,"4,08",FALSE,,,,,,
01 I. Escola Pepa Colomer,1_3,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/609026d8-7475-4174-ac98-c77d3fef4652,Ritmo 1,Ainhoa Cupido,"1,09",TRUE,,,,,,
01 I. Escola Pepa Colomer,1_4,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/0be5e06a-26e4-4067-a24e-625cb6195812,Ritmo 1,david rara vez,"4,01",TRUE,"Rara Vez, Taiu & Milo j",Taiu & Milo j,Urbano latino,https://www.shazam.com/track/651489590/rara-vez,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/9a/04/a4/9a04a42f-01fb-ada0-a00b-e4019ead5bfc/23UMGIM09623.rgb.jpg/400x400cc.jpg,
01 I. Escola Pepa Colomer,1_5,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/af5f373e-a45f-4157-8d40-1f30370834e0,Ritmo 1,Coral Tu No Vive Asi  - Bad Bunny Ft Arcangel,"7,99",FALSE,"Tú No Vive Así, Natha Danger & Satya Parvathi",Natha Danger & Satya Parvathi,Hip-hop/Rap,https://www.shazam.com/track/380840143/t%C3%BA-no-vive-as%C3%AD,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/a7/25/b5/a725b5b9-4cdb-9c12-175a-b94ad941bc64/5059713615884_cover.jpg/400x400cc.jpg,
01 I. Escola Pepa Colomer,1_6,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/33d6d984-184e-416b-9a5c-e6f69e81e22f,Ritmo 1,edu antes instrumental,"8,42",FALSE,"Antes, Rvfv & Edu Garcia",Rvfv & Edu Garcia,Urbano latino,https://www.shazam.com/track/654878362/antes,https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/fb/32/b4/fb32b447-a0d1-13b0-b7ac-beec6ba20478/8445162847100.jpg/400x400cc.jpg,
01 I. Escola Pepa Colomer,2_1,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/eb3385d1-01d6-4a8e-8874-89ea79578089,Ritmo 2,Ali _ bandaga,"5,92",TRUE,,,,,,
01 I. Escola Pepa Colomer,2_2,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/31db8acc-5c54-465c-b8bd-b7172290b5d5,Ritmo 2,Miqel punto 40,"4,49",FALSE,"PUNTO 40, Rauw Alejandro & Baby Rasta",Rauw Alejandro & Baby Rasta,Urbano latino,https://www.shazam.com/track/633202679/punto-40,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/99/0f/ef/990fefcb-db12-0cf0-90f9-44115c095c73/196589764720.jpg/400x400cc.jpg,
01 I. Escola Pepa Colomer,2_3,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/b9dd4dd2-d183-4065-b1a4-201fd5542691,Ritmo 2,james singuapur,"4,25",FALSE,"Singapur, El Alfa & Chael Produciendo",El Alfa & Chael Produciendo,Música latina,https://www.shazam.com/track/512304684/singapur,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/99/f7/a1/99f7a182-2a70-bc38-b104-e5003bd1958c/195079510656.jpg/400x400cc.jpg,
01 I. Escola Pepa Colomer,3_1,https://app.antropoloops.com/teatrelartesa/55600d9e-2392-4f3b-9ce7-c4b0b43a23ab/clips/d614810d-9b98-49a8-8980-9348105959ce,Melodía 1,jisell dos1,"3,98",FALSE,"De las 2 (feat. Bad Bunny & Arcángel), Trap Capos & Noriel",Trap Capos & Noriel,Urbano latino,https://www.shazam.com/track/412954216/de-las-2-feat-bad-bunny-arc%C3%A1ngel,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/0a/67/04/0a67048c-bac7-9b5f-4f70-5a45e9c8d9fa/886447029350.jpg/400x400cc.jpg,
